School_ID;Name;Places_19_20;Reg_19_20;Reg_ESB_19_20;Aufnahme_19_20;Ablehnung_19_20;Places_20_21;Reg_20_21;Reg_ESB_20_21;Aufnahme_20_21;Ablehnung_20_21
03G25;Carl-Human-Grundschule;116;110;106;106;;102;99;88;88;
03G26;Arnold-Zweig-Grundschule;118;129;114;114;;120;105;87;87;
03G27;Elizabeth-Shaw-Grundschule;104;113;104;104;;78;78;73;65;8
03G28;Grundschule im Hasengrund;104;102;94;94;;104;89;79;10;
03G29;Grundschule Am Sandhaus;78;96;76;76;;78;67;61;61;
03G32;Grundschule an den Buchen;77;76;75;75;;75;75;65;65;
03G33;Jeanne-Barez-Grundschule;126;129;126;126;;128;128;122;122;
03G34;Mendel-Grundschule;105;106;104;104;;123;107;68;68;
03G35;Platanen-Grundschule;30;26;21;21;;26;23;15;15;
03G36;Elisabeth-Christinen-Grundschule;104;101;92;92;;104;104;104;104;
03G37;Klecks-Grundschule;104;104;103;103;;130;108;97;97;
03G38;Grundschule im Blumenviertel;90;90;93;93;;58;47;17;17;
03G39;Wolkenstein-Grundschule;104;103;92;92;;104;86;77;77;
03G40;Grundschule im Birkenhof;100;100;90;90;;85;72;70;70;
03G41;Trelleborg-Grundschule;130;133;127;127;;130;118;117;117;
03G43;Grundschule Wilhelmsruh;104;98;102;102;;104;104;86;86;
03G44;Georg-Zacharias-Grundschule;52;54;53;53;;52;48;39;39;
03G45;Grundschule im Hofgarten;78;78;74;74;;78;74;45;45;
03G46;Grundschule im Eliashof;78;78;78;78;;78;76;46;46;
03G47;Grundschule an der Strauchwiese;53;53;53;53;;45;43;33;33;
03G48;48. Grundschule;;;;;;54;46;35;35;
03K11;Wilhelm-v-Humboldt-Gemeinschaftsschule;72;72;76;76;;73;73;26;26;
03K07;Telsa-Gemeinschaftsschule;52;49;52;52;;78;68;45;45;
04G01;Eichendorff-Grundschule;75;;120;84;;100;139;114;114;
04G02;Lietzensee-Grundschule;75;;88;58;;75;97;46;46;
04G04;Joan-Miró-Grundschule;50;;96;61;;50;103;40;40;
04G04;Joan-Miró-Grundschule - (SESB);78;119;;78;41;;;;;
04G05;Dietrich-Bonhoeffer-Grundschule;50;;88;53;;75;84;60;60;
04G06;Wald-Grundschule;78;;67;78;65;78;78;41;41;
04G07;Ludwig-Cauer-Grundschule;75;;93;78;;100;111;81;81;
04G08;Mierendorff-Grundschule;75;;103;90;;100;124;85;85;
04G09;Erwin-von-Witzleben-Grundschule;75;;82;75;7;100;101;75;75;
04G10;Helmuth-James-v-Moltke-Grundschule;100;;103;87;;75;107;85;78;7
04G12;Schinkel-Grundschule;125;;205;130;31;125;164;127;127;
04G13;Nehring-Grundschule;100;;121;100;11;100;138;97;97;
04G14;Reinhold-Otto-Grundschule;100;;144;100;;100;148;103;103;
04G15;Charles-Dickens-Grundschule;25;;39;28;;24;53;43;24;19
04G15;Charles-Dickens-Grundschule - (SESB);48;151;;48;11;;;;;
04G17;Johann-Peter-Hebel-Grundschule;150;;172;157;;100;158;101;101;
04G18;Ernst-Habermann-Grundschule;75;;97;75;;75;96;75;75;
04G19;Grundschule am Rüdesheimer Platz;100;;101;112;;92;58;58;58;
04G20;Katharina-Heinroth-Grundschule;100;;268;124;;100;228;100;100;
04G20;Katharina-Heinroth-Grunds. - (SESB);52;38;;34;;;;;;
04G21;Halensee-Grundschule;100;;173;103;12;75;172;79;79;
04G22;Grunewald-Grundschule;100;;121;100;18;100;97;83;83;
04G23;Alt-Schmargendorf-Grundschule;104;;123;104;4;104;135;88;88;
04G24;Carl-Orff-Grundschule;75;;118;78;26;90;107;70;70;
04G25;Cecilien-Grundschule;100;;127;100;15;72;101;86;86;
04G26;Birger-Forell-Grundschule;75;;81;81;;75;101;86;86;
04G27;Judith-Kerr-Grundschule - (SESB);78;79;;69;7;;;;;
04S04;Reinfelder-Schule;48;;55;48;7;;;;;
04S07;Comenius-Schule;60;;61;61;;;;;;
04K04;Nelsen-Mandela-Schule;;;;;;;;;;
04K05;Paula-Fürst-Schule;75;;56;66;;;;;;
05G01;Ernst-Ludwig-Heim-Grundschule;75;123;119;76;;75;102;101;51;
05G01;Ernst-Ludwig-Heim-G/ Sprachheilkl;24;9;;;;24;20;;;
05G02;Grundschule am Eichenwald;75;72;71;56;;75;98;64;47;
05G04;Klosterfeld-Grundschule;50;89;75;53;;50;89;78;45;
05G05;Christoph-Földerich-Grundschule;100;146;136;90;;100;142;125;53;
